ID процесса B	Время выполнения процесса B (мс)	ID процесса (ов) A
1	90	0
2	26	1
3	48	"1; 2"
4	61	"1; 2; 3"
5	17	"1; 4"
6	73	3
7	75	"4; 6"
8	20	"5; 7"
9	65	"3; 4"
10	69	8
11	48	6
12	26	"1; 3; 7"
13	12	"1; 4; 5; 6"
14	31	"2; 4"
15	78	"9; 10; 13; 5"
16	5	"1; 4; 13; 14"
17	12	"5; 14"
18	91	5
19	4	10
20	51	"1; 4; 6; 9; 11"
21	17	14
22	36	"11; 18; 19; 4"
23	51	"1; 9; 11; 16; 22"
24	21	"2; 5; 7"
25	42	"8; 1; 4; 24"
26	96	"18; 10; 4"
27	23	"19; 11; 4; 6"
28	85	"16; 18; 19; 5"
29	97	"25; 10; 3; 22"
30	87	25
31	39	18
32	2	0
33	71	"5; 31"
34	71	16
35	28	"8; 11; 4; 5"
36	56	20
37	9	0
38	41	11
39	68	0
40	14	"32; 35; 17; 18; 30"
41	84	"26; 37; 15"
42	53	"33; 10"
43	89	"9; 18; 26; 4"
44	19	"41; 10; 6; 33"
45	10	"26; 27"
46	73	"33; 4; 5; 22; 24"
47	54	24
48	76	"2; 5; 39; 8; 28"
49	18	"32; 41; 24; 15"
50	99	"1; 2; 21; 22"
51	26	28
52	46	24
53	86	"46; 20; 52; 23; 27"
54	57	"20; 39"
55	46	"11; 3"
56	55	3
57	58	"56; 13; 39"
58	84	"9; 49"
59	7	"8; 34; 4; 20"
60	13	"35; 30"
61	59	"56; 57; 16; 55"
62	12	33
63	90	"48; 9; 29"
64	7	"32; 49; 10; 13"
65	10	"4; 63"
66	94	"19; 5; 38"
67	42	36
68	15	"64; 28; 53"
69	69	"56; 38"
70	73	"59; 26; 18; 66"
71	12	"58; 37"
72	74	"53; 14"
73	96	20
74	99	"40; 73; 53; 7"
75	34	"11; 12; 29"
76	34	"74; 69; 53"
77	28	0
78	67	"16; 45; 46"
79	29	0
80	98	"73; 45; 39"
81	95	0
82	87	40
83	62	"67; 45; 15; 51; 24"
84	96	"67; 12; 62"
85	36	32
86	95	"50; 76; 46; 31"
87	41	"34; 37; 44; 45; 16"
88	24	39
89	23	"35; 41; 42; 21; 26"
90	63	"25; 76; 9"
91	79	76
92	30	"62; 26; 54"
93	23	"26; 27; 84; 78"
94	92	"1; 34; 73; 91; 93"
95	35	8
96	50	"78; 53; 86; 87; 26"
97	97	59
98	9	"8; 51; 29; 54"
99	87	55
